"dataset","method","errs","dist"
"balibase","alfred-h","0","30.8623853211009"
"balibase","alfred-h","1","29.0091743119266"
"balibase","alfred-h","2","28.4036697247706"
"balibase","alfred-h","3","28.2110091743119"
"balibase","alfred-h","4","27.8807339449541"
"balibase","alfred-h","5","27.6330275229358"
"balibase","alfred-h","6","27.7614678899083"
"balibase","alfred-h","7","27.7798165137615"
"balibase","alfred-h","8","27.7706422018349"
"balibase","alfred-h","9","27.7889908256881"
"balibase","kmacs","0","30.8623853211009"
"balibase","kmacs","1","29.2752293577982"
"balibase","kmacs","2","28.4403669724771"
"balibase","kmacs","3","28.045871559633"
"balibase","kmacs","4","27.6238532110092"
"balibase","kmacs","5","27.5688073394495"
"balibase","kmacs","6","27.2844036697248"
"balibase","kmacs","7","27.3211009174312"
"balibase","kmacs","8","27.3119266055046"
"balibase","kmacs","9","27.2110091743119"
